Farm_ID,Region,Crop_Type,Farming_Practice,Soil_Type,Soil_pH,Soil_Moisture(%),Nitrogen(ppm),Phosphorus(ppm),Potassium(ppm),Temperature(°C),Rainfall(mm),Humidity(%),Solar_Radiation(W/m²),Irrigation(L/ha),Fertilizer_Usage(kg/ha),Pesticide_Usage(kg/ha),Pest_Incidence,Pest_Severity,Carbon_Emissions(kgCO2eq/ha),Biodiversity_Score,Water_Use_Efficiency(kg/L),Yield(kg/ha),Profit(USD/ha)
F145,North,Soybean,Organic,Loamy,5.09,15.5,117.7,38.8,218.6,26.2,10,59.3,467.3,1125.4,194.4,9.8,No,High,1865.9,4.8,3.11,4928.8,2073.8
F146,East,Wheat,Organic,Loamy,5.9,31,85.1,47,138,22.4,242.7,70.9,769.7,1580.8,121.9,3.1,Yes,Low,1974.4,2.9,3.14,4111.3,3993.1
F147,North,Cotton,Integrated,Clay,6.95,20.2,90,44.8,167.8,31.3,46.7,28.1,686.5,751.4,60.4,3.1,Yes,Medium,950.2,5.5,2.2,6725.3,2068
F148,North,Maize,Organic,Sandy,8.43,16.3,88.6,68.5,171.3,29.6,70.8,22.4,473.3,1166.5,34.5,6.5,No,Low,1854.2,4.9,0.64,5570.5,2724.5
F149,West,Maize,Organic,Loamy,7.99,5.2,51.1,49.3,194.2,35.7,189.8,73.2,227.6,1039.9,105.7,0.8,No,Low,552.7,5.4,2.35,2148.2,3350.6
F150,West,Rice,Integrated,Sandy,7.35,5.8,27.5,70,103.2,15.5,235.3,83.9,154.9,4996.5,81.2,18.1,No,Low,1470.3,6.6,1.75,654.8,4276.4
F151,South,Wheat,Integrated,Sandy,6.64,41.6,24.5,21,210.7,18.6,29.9,32.5,252.6,3768.2,154.1,1.8,Yes,Medium,1047.6,8.4,1.93,571.9,4925.6
F152,North,Cotton,Conventional,Loamy,4.64,12.7,100,49.1,67.1,22.1,278.3,24.5,455.2,1126.4,132.4,4.2,No,Low,1724.8,5.8,3.05,1057.5,2610.4
F153,North,Maize,Organic,Clay,4.95,43.3,51.1,11.7,140.2,31.4,212.8,34.8,519.8,4782.9,178,7.7,No,High,1252.5,5.2,3.3,7032.3,3070.1
F154,West,Vegetables,Conventional,Loamy,8.2,20.4,106.7,49.4,156.2,20.3,288,87.1,718.2,2692,114.5,6,Yes,Medium,652.2,0,1.47,1572.5,3807.5
F155,North,Wheat,Integrated,Clay,5.08,40.8,83.2,70.9,155.2,39.3,129.6,27.7,138.8,846.5,27.7,6.9,No,Medium,1015.3,8,2.45,4336.2,3997.6
F156,West,Rice,Organic,Sandy,4.68,12,60.1,26.7,216.3,29.8,195.3,75.3,265.5,1368.4,29.1,10.8,Yes,Medium,209.1,4,0.52,3109.7,3563.9
F157,East,Vegetables,Organic,Clay,6.13,36.6,69,31.1,149.1,31.6,244.5,69.1,259.4,3140.9,75.7,13.4,Yes,High,1759.6,2.7,3.12,6862.2,2050.4
F158,West,Vegetables,Integrated,Clay,5.52,18.6,118,14.9,173.7,27.2,218,49.6,489.9,2719.6,158.9,7.9,No,Medium,527.8,6.2,2.93,2679.1,286
F159,North,Wheat,Organic,Loamy,8.11,20.7,65,14.3,112.4,35.3,28.4,49.5,793.3,2151.5,62.4,18.7,No,Low,1340.3,3.5,2.05,2060.6,2831.5
F160,North,Cotton,Organic,Clay,7.59,5.3,98.6,54.1,213.5,37.1,270.9,57.6,133.8,2847.3,76.1,3.8,Yes,High,1964.7,2.9,0.89,6288.6,80.7
F161,East,Soybean,Integrated,Silty,7.03,6.3,51.8,56.8,216.2,29.8,271.9,75.1,373.9,2374,187.2,4.7,Yes,Medium,491,7.5,0.87,2888,287.6
F162,West,Vegetables,Conventional,Loamy,7.34,44.5,101.5,36.3,59.5,20.3,259,87.1,407.2,2102.6,36.7,2.1,Yes,Low,1069.6,7.3,2.29,5332.4,4348.4
F163,East,Vegetables,Organic,Loamy,5.76,37.3,116.3,32.4,176.1,37.1,12.4,78.2,407.5,1184.8,156.9,6.8,Yes,High,1909,6.2,1.66,955,2633.9
F164,North,Cotton,Integrated,Sandy,7.81,22.7,70.8,35.8,78,20.8,119.5,32.8,774.1,964.1,82.8,19.1,Yes,Low,1220.3,4.8,1.19,4201.2,3470
F165,South,Rice,Conventional,Clay,7.6,7.2,66.8,58,173.2,17.5,27.9,74.5,613.8,1694.1,38.7,6.1,No,Low,1083.4,1.5,0.81,7576.1,1669.6
F166,East,Maize,Integrated,Silty,7.98,28.5,71.3,21.7,188.4,28.8,240.4,78.6,130.8,1848.8,68.8,17.5,No,Low,1839.5,1.8,2.49,6065.8,1751.1
F167,West,Soybean,Conventional,Sandy,7.53,19.4,52,24.2,89.6,18.3,159.6,46.8,517.1,4535.4,134.4,18.5,Yes,High,913.7,5.2,3.47,4991.3,445
F168,West,Wheat,Conventional,Clay,6.64,12.7,73.9,55.2,217.2,37.8,281.6,90.6,342.4,1121.3,86.7,11,No,Low,521,0.6,0.58,3382.5,4852.2
F169,West,Soybean,Integrated,Silty,5.35,25.2,80.3,68,187.7,29,10.1,50.6,386.3,1679.9,100,13.7,Yes,Low,308.6,7.5,3.3,3096.6,3334.8
F170,North,Wheat,Integrated,Clay,4.69,7.4,118.8,58.4,177.8,22.4,99.2,69.5,475.9,1350.5,149.5,14.8,Yes,High,1363.9,5.8,0.65,1187.7,1057
F171,East,Soybean,Integrated,Loamy,6.26,17.3,70,69.7,142.3,18.1,194.9,56.6,454.9,2733.4,182.5,7.9,Yes,Low,1739.2,8.5,0.64,6242.3,1263.4
F172,East,Vegetables,Organic,Loamy,5.33,8.3,64.7,60.9,147.9,31.1,81.7,66.6,595.6,3543.6,73.7,11.5,No,Medium,515.3,7.3,0.89,6287.6,1416.2
F173,East,Rice,Conventional,Loamy,6.86,20.5,90,20.1,243.4,37.8,165.8,62.1,423.3,3640.4,47.5,17.8,No,Medium,1258.4,3,2.02,7385.5,440
F174,West,Rice,Integrated,Loamy,7.87,20.8,102.8,67.4,157.7,17.1,120.7,85.2,782,3238.2,38.4,14.2,Yes,High,150.3,3.1,2.18,3717,4501.7
F175,West,Wheat,Organic,Clay,7.92,11.7,56.7,22.3,97.8,19.4,279,74.2,691.6,1450.2,70.5,9.4,No,Medium,1033.5,3.6,0.53,3825.3,4442.6
F176,West,Cotton,Integrated,Sandy,5.74,13,109.8,53.8,215.1,20.1,228.4,93.7,332.2,3067.5,136.1,9,Yes,High,1850.3,9.5,2.92,5953.2,2029.1
F177,West,Rice,Organic,Clay,6.74,24.3,119.9,66,137.1,27.8,167.3,75.6,602.9,4549.7,247.4,13.6,Yes,Low,1337.1,8.7,2.07,7511.2,928.6
F178,South,Maize,Organic,Clay,8.49,39,95.4,12.9,209,27.7,264.4,39,604.1,2318.3,189.5,11,No,Medium,1890.7,6.2,2.6,7804.8,4923.6
F179,South,Cotton,Organic,Clay,5.47,14.4,65.3,37.3,141.3,15.9,96.4,86.3,229.6,4001.8,170.8,0.2,Yes,Low,204.8,10,1.33,1233,1551.5
F180,West,Rice,Conventional,Loamy,7.71,7.4,75,27.3,78.9,33.3,36.6,75.4,775.4,1677.6,138.4,3.3,No,Medium,1342.6,3.9,0.53,3541.5,2517
F181,East,Maize,Integrated,Clay,6.7,10.8,81.6,71.2,131.3,30.4,133.3,35.7,765.4,3476.5,61.5,6.1,Yes,Medium,732.7,5.6,2.31,6367.4,2553.6
F182,South,Soybean,Integrated,Silty,7.41,36.2,85.2,20.6,155.5,32.3,174.9,26.4,603.3,3589,23.3,9.4,Yes,Medium,1945.3,0.8,1.93,1575.5,4416.5
F183,South,Wheat,Organic,Loamy,4.63,17.8,89,23.4,220.8,38.3,170.9,74.6,623.6,2351.3,119.8,20,Yes,High,1433.3,7.4,1.71,3067.4,3752.7
F184,North,Vegetables,Conventional,Sandy,4.82,21.8,50.9,41.8,147.1,34,120.7,83,362.8,3771.6,136.3,11.1,No,High,1249.3,7.2,2.88,4460.7,3530.7
F185,South,Rice,Organic,Loamy,6.22,9.1,89.7,64.9,187.6,19.3,236.9,80,149,2678.6,77.6,16.5,No,High,1108.3,2.1,3.47,3790.9,3418.7
F186,North,Wheat,Organic,Silty,7.01,41,55.3,41.1,228.6,24.3,147.6,54.4,664.9,992.4,218,19.3,No,Low,156.5,2.2,3.41,889.3,875.9
F187,East,Rice,Conventional,Sandy,7.26,27.7,49.2,13.5,246.8,29.6,129.6,70.8,497.3,3482.8,117.1,16.4,Yes,Low,1301.8,0.6,1.94,1008.1,1134.9
F188,North,Maize,Integrated,Silty,5.17,44.3,39.5,32.7,215.8,21.2,82.5,43.1,491,3551,20.5,1.5,No,High,1860.9,7.3,0.54,2702.8,4261.1
F189,West,Cotton,Organic,Loamy,6.56,26.1,25.4,16,120.1,25.3,189.1,88,251.8,3194.5,164.8,14.8,No,High,1979,3.8,1.77,5605.4,4087.1
F190,South,Soybean,Organic,Loamy,7.97,34.2,51.1,18.5,70.7,27.5,248.5,48.1,446.8,3837.8,75.3,7.5,No,High,785.3,9,2.99,883.2,4726.5
F191,West,Cotton,Integrated,Silty,6.01,43.3,42.4,12.3,94.8,25.5,108.3,89.7,695.8,2464.9,133.1,11.8,No,Medium,1226.2,3,1.45,1824.4,3224.7
F192,South,Wheat,Conventional,Loamy,5.2,26.7,48.8,29.7,215,16.1,156.1,40.3,716.1,4670.8,104.1,1.1,No,High,603.4,7.1,1.95,5101.6,2731
F193,South,Cotton,Integrated,Sandy,6.55,30.8,41.3,32.2,213.7,38.6,20.7,54.2,194.9,2566.7,131.6,0.6,Yes,High,260.8,6.9,2.1,1116.2,537.1
F194,East,Soybean,Conventional,Sandy,5.09,15.7,84.1,29.3,80.1,25.2,298.4,39.1,601.9,4471,52.3,1.5,Yes,Low,1438.4,7.6,1.93,2807.4,788.8
F195,South,Cotton,Conventional,Loamy,4.69,27.7,108.2,55.1,60.8,20.6,169.6,56.4,429.2,4987.4,79.1,9.3,Yes,Medium,1791.5,9.2,2.6,6015.3,657.7
F196,South,Vegetables,Integrated,Sandy,7.22,36.5,64.7,17.6,74.3,16,29.2,20.1,295.6,4039.5,202.4,2.7,Yes,High,1036.2,7.4,1.69,7698.7,4253.2
F197,South,Wheat,Organic,Clay,4.68,23.4,65.4,70.5,187.1,26.1,177.9,29.5,640.2,4611.3,56.2,16.1,Yes,High,867.4,1.6,2.72,4999.8,4424.4
F198,North,Cotton,Organic,Silty,7.29,42.3,55,12.7,206.4,22,125.7,80.7,258.1,3910.1,105.9,1.9,No,Low,1379.4,3.1,1.47,1256.7,4710.7
F199,North,Rice,Integrated,Silty,5.58,27.6,61.5,40.6,224.7,18.6,271.7,89.9,651.4,1208.2,186.6,5.2,No,Low,1062.7,2.6,3.15,753.5,1812.2
F200,North,Soybean,Conventional,Clay,7.38,7.5,47.6,42.1,230.5,33.2,229,36.7,665.5,2184.8,118.2,11.9,Yes,High,1539.3,6.3,0.78,1925.6,684.8
